U/t,Double Occupancy
0.0,0.06249999983199167
0.42105263157894735,6.290089799368543e-09
0.8421052631578947,2.2658509509233353e-08
1.263157894736842,1.328929406306687e-07
1.6842105263157894,9.588728797509215e-08
2.1052631578947367,2.007926142259161e-07
2.526315789473684,9.79866737684068e-10
2.9473684210526314,2.1343702124336173e-09
3.3684210526315788,1.1494213516146474e-10
3.789473684210526,2.135712874470904e-12
4.2105263157894735,6.826980800649672e-13
4.631578947368421,2.341137932411608e-10
5.052631578947368,1.7330271725890691e-12
5.473684210526315,5.950167424984807e-09
5.894736842105263,1.2199114158725308e-32
6.315789473684211,3.502361681955707e-07
6.7368421052631575,7.879282697145016e-09
7.157894736842104,1.0153012308334386e-08
7.578947368421052,1.9467559561811854e-10
8.0,6.779992110044668e-08
