U/t,Double Occupancy
0.42105263157894735,0.1676035689390003
0.8421052631578947,0.1503678019859748
1.263157894736842,0.13534329353684416
1.6842105263157894,0.12214866617547267
2.1052631578947367,0.11048420092493597
2.526315789473684,0.10012015511244272
2.9473684210526314,0.09087928334771926
3.3684210526315788,0.08262133210956274
3.789473684210526,0.07523154035089061
4.2105263157894735,0.0686128928297349
4.631578947368421,0.06268120976592581
5.052631578947368,0.05736214802658064
5.473684210526315,0.052589389176581035
5.894736842105263,0.04830351396005886
6.315789473684211,0.04445124702216826
6.7368421052631575,0.04098488728861431
7.157894736842104,0.037861825117488146
7.578947368421052,0.03504409895397037
8.0,0.032497972907526075
